,id,Unnamed: 1,action_id,action_name,player_id,player_name,team_id,team_name,position_id,position_name,opponent_id,opponent_name,opponent_team_id,opponent_team_name,opponent_position_id,opponent_position_name,half,second,zone_id,zone_name,zone_dest_id,zone_dest_name,pos_x,pos_y,pos_dest_x,pos_dest_y,gate_x,gate_y,len,direction,standart_id,standart_name,possession_id,possession_name,possession_team_id,possession_team_name,possession_time,possession_number,attack_status_id,attack_status_name,attack_type_id,attack_type_name,attack_flang_id,attack_flang_name,attack_team_id,attack_team_name,attack_number,body_id,body_name,assistant_id,assistant_name,shot_type,touches,shot_handling,sub_reason,var_decision,ts,dl,match_id,jornada
1320,60130,,22000,Ball receiving,486073.0,Juan Sebastian Penaloza Ragga,3356.0,Aguilas Doradas,55.0,Attacking midfielder - Right,,,,,,,2,300.95,8.0,3R,,,62.4,16.2,,,,,,,1.0,Open play,3.0,Ball possession,3356.0,Aguilas Doradas,0.0,110.0,3.0,Attack,1.0,Positional attack,3.0,right flank,3356.0,Aguilas Doradas,82.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1321,62285,,21000,Dribbling,486073.0,Juan Sebastian Penaloza Ragga,3356.0,Aguilas Doradas,55.0,Attacking midfielder - Right,,,,,,,2,300.95,8.0,3R,,,62.4,16.2,85.5,11.1,,,23.7,,1.0,Open play,3.0,Ball possession,3356.0,Aguilas Doradas,0.0,110.0,3.0,Attack,1.0,Positional attack,3.0,right flank,3356.0,Aguilas Doradas,82.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1322,60131,,1011,Attacking pass accurate,486073.0,Juan Sebastian Penaloza Ragga,3356.0,Aguilas Doradas,55.0,Attacking midfielder - Right,33983.0,Christian Camilo Marrugo Rodrigues,3356.0,Aguilas Doradas,35.0,Attacking midfielder - Central,2,306.6,11.0,4R,11.0,4R,85.5,11.1,85.8,18.2,,,7.1,,1.0,Open play,3.0,Ball possession,3356.0,Aguilas Doradas,0.0,110.0,3.0,Attack,1.0,Positional attack,3.0,right flank,3356.0,Aguilas Doradas,82.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1323,60132,,1012,Attacking pass inaccurate,33983.0,Christian Camilo Marrugo Rodrigues,3356.0,Aguilas Doradas,35.0,Attacking midfielder - Central,,,,,,,2,307.07,11.0,4R,11.0,4R,85.8,18.2,105.0,0.0,,,26.5,,1.0,Open play,3.0,Ball possession,3356.0,Aguilas Doradas,0.0,110.0,3.0,Attack,1.0,Positional attack,3.0,right flank,3356.0,Aguilas Doradas,82.0,,,,,,,,,,2022-02-13 17:58:41,0,2181335,6
1324,71745,,2040,Lost balls,33983.0,Christian Camilo Marrugo Rodrigues,3356.0,Aguilas Doradas,,,,,,,,,2,307.07,11.0,4R,,,105.0,0.0,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-13 17:43:00,0,2181335,6
1325,60133,,27000,Ball out of the field,,,3356.0,Aguilas Doradas,,,,,,,,,2,308.95,11.0,4R,,,105.0,0.0,,,,,,,1.0,Open play,2.0,End,3356.0,Aguilas Doradas,15.0,110.0,2.0,End,1.0,Positional attack,3.0,right flank,3356.0,Aguilas Doradas,82.0,,,,,,,,,,2022-02-13 14:58:28.698,0,2181335,6
1326,60134,,1011,Attacking pass accurate,300324.0,Joel David Graterol Nader,1491.0,America de Cali,31.0,Goalkeeper,296072.0,Jorge Andres Segura Portocarrero,1491.0,America de Cali,22.0,Defender - Left central,2,326.19,4.0,1B,4.0,1B,5.5,34.2,11.7,45.9,,,13.2,,3.0,Indirect free kick,1.0,Start,1491.0,America de Cali,0.0,111.0,1.0,Start,1.0,Positional attack,3.0,right flank,1491.0,America de Cali,83.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1327,60135,,22000,Ball receiving,296072.0,Jorge Andres Segura Portocarrero,1491.0,America de Cali,22.0,Defender - Left central,,,,,,,2,327.6,4.0,1B,,,11.7,45.9,,,,,,,1.0,Open play,3.0,Ball possession,1491.0,America de Cali,0.0,111.0,3.0,Attack,1.0,Positional attack,3.0,right flank,1491.0,America de Cali,83.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1328,60136,,1011,Attacking pass accurate,296072.0,Jorge Andres Segura Portocarrero,1491.0,America de Cali,22.0,Defender - Left central,300324.0,Joel David Graterol Nader,1491.0,America de Cali,31.0,Goalkeeper,2,332.33,4.0,1B,4.0,1B,14.7,49.9,5.0,37.7,,,15.6,,1.0,Open play,3.0,Ball possession,1491.0,America de Cali,0.0,111.0,3.0,Attack,1.0,Positional attack,3.0,right flank,1491.0,America de Cali,83.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1329,60137,,22000,Ball receiving,300324.0,Joel David Graterol Nader,1491.0,America de Cali,31.0,Goalkeeper,,,,,,,2,334.04,4.0,1B,,,5.0,37.7,,,,,,,1.0,Open play,3.0,Ball possession,1491.0,America de Cali,0.0,111.0,3.0,Attack,1.0,Positional attack,3.0,right flank,1491.0,America de Cali,83.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
