;Posicion;Grupo;Peso% Grupo (PG);Variable;Peso% Variable (PV)
273;Volante Mixto;Pases clave;0.1;Pases clave acertados por 90 min;0.5
274;Volante Mixto;Pases clave;0.1;Asistencias esperadas;0.5
275;Volante Mixto;Regates;0.1;Regates exitosos, %;0.8
276;Volante Mixto;Regates;0.1;Regates exitosos por 90 min;0.2
277;Volante Mixto;Otros;0.00999999999999979;Goles por 90 min;0.025
278;Volante Mixto;Otros;0.00999999999999979;xG con marca;0.025
279;Volante Mixto;Otros;0.00999999999999979;xG por remate;0.025
280;Volante Mixto;Otros;0.00999999999999979;Asistencias por 90 min;0.025
281;Volante Mixto;Otros;0.00999999999999979;Oportunidades creadas por 90 min;0.025
282;Volante Mixto;Otros;0.00999999999999979;Oportunidades exitosas por 90 min;0.025
283;Volante Mixto;Otros;0.00999999999999979;Oportunidades, % de conversión;0.025
284;Volante Mixto;Otros;0.00999999999999979;Duelos por 90 min;0.025
285;Volante Mixto;Otros;0.00999999999999979;Conversión de xG;0.025
286;Volante Mixto;Otros;0.00999999999999979;Tarjetas amarillas por 90 min;0.025
287;Volante Mixto;Otros;0.00999999999999979;"xG neto (xG con marca -
xG del equipo contrincante)";0.025
288;Volante Mixto;Otros;0.00999999999999979;Faltas por 90 min;0.025
289;Volante Mixto;Otros;0.00999999999999979;Fueras de juego por 90 min;0.025
290;Volante Mixto;Otros;0.00999999999999979;Balones perdidos por 90 min;0.025
291;Volante Mixto;Otros;0.00999999999999979;Total de acciones por 90 minutos;0.025
292;Volante Mixto;Otros;0.00999999999999979;Pases por 90 min;0.025
293;Volante Mixto;Otros;0.00999999999999979;Tarjetas rojas por 90 min;0.025
294;Volante Mixto;Otros;0.00999999999999979;Penaltis anotados por 90 min;0.025
295;Volante Mixto;Otros;0.00999999999999979;"xG defensivo (xG de los remates
hechos por el jugador marcado)";0.025
296;Volante Mixto;Otros;0.00999999999999979;Duelos ganados, %;0.025
297;Volante Mixto;Otros;0.00999999999999979;Penaltis anotados, %;0.025
298;Volante Mixto;Otros;0.00999999999999979;Penaltis cobrados por 90 min;0.025
299;Volante Mixto;Otros;0.00999999999999979;Oportunidades por 90 min;0.025
300;Volante Mixto;Otros;0.00999999999999979;Duelos defensivos por 90 min;0.025
301;Volante Mixto;Otros;0.00999999999999979;Duelos aéreos por 90 min;0.025
302;Volante Mixto;Otros;0.00999999999999979;Remates al palo por 90 min;0.025
303;Volante Mixto;Otros;0.00999999999999979;Pases clave por 90 min;0.025
304;Volante Mixto;Otros;0.00999999999999979;xG del oponente con marca;0.025
305;Volante Mixto;Otros;0.00999999999999979;Regates por 90 min;0.025
306;Volante Mixto;Otros;0.00999999999999979;Remates por 90 min;0.025
307;Volante Mixto;Otros;0.00999999999999979;xG defensivo por remate;0.025
308;Volante Mixto;Otros;0.00999999999999979;xG por gol;0.025
309;Volante Mixto;Otros;0.00999999999999979;"Recogidas de balón
libre por 90 min";0.025
310;Volante Mixto;Otros;0.00999999999999979;Duelos ofensivos por 90 min;0.025
311;Volante Mixto;Otros;0.00999999999999979;Faltas recibidas por 90 min;0.025
312;Volante Mixto;Otros;0.00999999999999979;Cruces por 90 min;0.025
313;Volante Mixto;Otros;0.00999999999999979;Entradas por 90 min;0.025
314;Volante Mixto;Otros;0.00999999999999979;Remates desviados por 90 min;0.025
315;Volante Mixto;Otros;0.00999999999999979;Remates a puerta por 90 min;0.025
316;Volante Mixto;Otros;0.00999999999999979;Remates a puerta, %;0.025
317;Interior;Disputas aéreas;0.05;Duelos aéreos ganados por 90 min;0.2
318;Interior;Disputas aéreas;0.05;Duelos aéreos ganados, %;0.8
319;Interior;Disputas defensivas;0.05;Duelos defensivos ganados por 90 min;0.2
320;Interior;Disputas defensivas;0.05;Duelos defensivos ganados, %;0.8
321;Interior;Disputas ofensivas;0.15;Duelos ofensivos ganados por 90 min;0.2
322;Interior;Disputas ofensivas;0.15;Duelos ofensivos ganados, %;0.8
323;Interior;Recuperaciones;0.1;Balones recuperados por 90 min;0.25
324;Interior;Recuperaciones;0.1;Remates bloqueados por 90 min;0.03333333333333333
325;Interior;Recuperaciones;0.1;Entradas ganadas, %;0.4
326;Interior;Recuperaciones;0.1;"Balones recuperados en campo
contrario por 90 min";0.03333333333333333
